fold_number,train,validation,test
1,71.46412481745027,13.42034269974936,14.439085647697604
2,71.46412481745027,14.439085647697604,13.42034269974936
3,71.62797007819353,14.133855878347145,13.50783525592738
4,71.62797007819353,13.50783525592738,14.133855878347145
5,70.48535708812763,16.053345045052204,13.404977572471958
6,70.48535708812763,13.404977572471957,16.053345045052204
7,70.72163095364895,15.667088290572224,13.752804509385316
8,70.72163095364895,13.752804509385316,15.667088290572229
9,71.87699391251165,12.238524623036088,16.030502279813188
10,71.87699391251165,16.030502279813184,12.23852462303609
Means,71.2352153699864,14.264836180205247,14.264836180205247
Variances,0.32102041981772855,1.6359846504654145,1.6359846504654165
